SRU,Ink2,BenΣmning,Konton i BAS 2017,
7201,2.1,"Koncessioner, patent, licenser, varumΣrken, hyresrΣtter, goodwill och liknande rΣttigheter",10xx exkl. 1088,
7202,2.2,F÷rskott avseende immateriella anlΣggningstillgσngar,1088,
7214,2.3,Byggnader och mark,"11xx exkl. (112x, 118x)",
7215,2.4 ,"Maskiner, inventarier och ÷vriga materiella anlΣggningstillgσngar",12xx exkl. 128x,
7216,2.5,F÷rbΣttringsutgifter pσ annans fastighet,112x,
7217,2.6,Pσgσende nyanlΣggningar och f÷rskott avseende materiella anlΣggningstillgσngar,"118x, 128x",
7230,2.7,Andelar i koncernf÷retag,131x,
7231,2.8,Andelar i intressef÷retag och gemensamt styrda f÷retag,133x exkl. (1336 och 1337),
7233,2.9,─garintresse i ÷vriga f÷retag och andra lσngfristiga vΣrdepappersinnehav,"135x, 1336, 1337",
7232,2.10,"Fordringar hos koncern-, intresse och gemensamt styrda f÷retag","132x, 134x exkl. (1346, 1347)",
7234,2.11,Lσn till delΣgare eller nΣrstσende,136x,
7235,2.12,Fordringar hos ÷vriga f÷retag som det finns ett ett Σgarintresse i och Andra lσngfristiga fordringar,"137x, 138x, 1346, 1347",
7241,2.13,Rσvaror och f÷rn÷denheter,"141x, 142x",
7242,2.14,Varor under tillverkning,144x,
7243,2.15,FΣrdiga varor och handelsvaror,"145x, 146x",
7244,2.16,╓vriga lagertillgσngar,149x,
7245,2.17,Pσgσende arbeten f÷r annans rΣkning,147x,
7246,2.18,F÷rskott till leverant÷rer,148x,
7251,2.19,Kundfordringar,"151x-155x, 158x",
7252,2.20,"Fordringar hos koncern-, intresse- och gemensamt styrda f÷retag","156x-157x, 166x,167x exkl. 1573, 1673",?
7261,2.21,Fordringar hos ÷vriga f÷retag som det finns ett Σgarintresse i och ╓vriga fordringar,"161x, 163x-165x, 1673, 168x-169x, 1573",?
7262,2.22,Upparbetad men ej fakturerad intΣkt,162x,
7263,2.23,F÷rutbetalda kostnader och upplupna intΣkter,17xx,
7270,2.24,Andelar i koncernf÷retag,186x,
7271,2.25,╓vriga kortfristiga placeringar,18xx exkl. 186x,
7281,2.26,"Kassa, bank och redovisningsmedel",19xx,
7301,2.27,Bundet eget kapital,208x,
7302,2.28,Fritt eget kapital,209x,
7321,2.29,Periodiseringsfonder,211x-213x,
7322,2.30,Ackumulerade ÷veravskrivningar,215x,
7323,2.31,╓vriga obeskattade reserver,216x-219x,
7331,2.32,AvsΣttningar f÷r pensioner och liknande f÷rpliktelser enligt lagen (1967:531) om tryggande av pensionsutfΣstelserr m.m.,221x,
7332,2.33,╓vriga avsΣttningar f÷r pensioner och liknande f÷rpliktelser,223x,
7333,2.34,╓vriga avsΣttningar,222x-229x exkl. 223x,
7350,2.35,Obligationslσn,231x-232x,
7351,2.36,CheckrΣkningskredit,233x,
7352,2.37,╓vriga skulder till kreditinstitut,234x-235x,
7353,2.38,"Skulder till koncern-, intresse och gemensamt styrda f÷retag",236x-237x exkl. (2373),
7354,2.39,Skulder till ÷vriga f÷retag som det finns ett Σgarintresse i och ÷vriga skulder,"238x-239x, 2373",
7360,2.40,CheckrΣkningskredit,248x,
7361,2.41,╓vriga skulder till kreditinstitut,241x,
7362,2.42,F÷rskott frσn kunder,242x,
7363,2.43,Pσgσende arbeten f÷r annans rΣkning,243x,
7364,2.44,Fakturerad men ej upparbetad intΣkt,245x,
7365,2.45,Leverant÷rsskulder,244x,
7366,2.46,VΣxelskulder,2492,
7367,2.47,"Skulder till koncern-, intresse och gemensamt styrda f÷retag","246x-247x, 286x-287x exkl. (2473, 2873)",
7369,2.48,Skulder till ÷vriga f÷retag som det finns ett Σgarintresse i och ╓vriga skulder,"249x exkl. 2492, 26xx-27xx, 28xx exkl. 286x-287x, 2473, 2873",
7368,2.49,Skatteskulder,25xx,
7370,2.50,Upplupna kostnader och f÷rutbetalda intΣkter,29xx,
7410,3.1,NettoomsΣttning,30xx-37xx,
7411,3.2,"F÷rΣndring av lager av produkter i arbete, fΣrdiga varor och pσgσende arbete f÷r annans rΣkning","`+ 49xx exkl. (4910-4929, 496x, 498x)",
7510,3.2,,"- 49xx exkl. (4910-4929, 496x, 498x)",
7412,3.3,Aktiverat arbete f÷r egen rΣkning,38xx,
7413,3.4,╓vriga r÷relseintΣkter,39xx,
7511,3.5,Rσvaror och f÷rn÷denheter,"40xx-47xx, 4910-4929",
7512,3.6,Handelsvaror,"40xx-47xx, 496x, 498x",
7513,3.7,╓vriga externa kostnader,50xx-69xx,
7514,3.8,Personalkostnader,70xx-76xx,
7515,3.9,Av- och nedskrivningar av materiella och immateriella anlΣggningstillgσngar,"77xx-78xx exkl. (774x, 779x)",
7516,3.10,Nedskrivningar av omsΣttningstillgσngar ut÷ver normala nedskrivningar,"774x, 779x",
7517,3.11,╓vriga r÷relsekostnader,79xx,
7414,3.12,Resultat frσn andelar i koncernf÷retag,"+ 80xx exkl. (807x, 808x)",
7518,3.12,,"- 80xx exkl. (807x, 808x)",
7415,3.13,Resultat frσn andelar i intressef÷retag och gemensamt styrda f÷retag," + 81xx exkl. (817x, 818x samt 8123 och 8133)",
7519,3.13,,"- 81xx exkl. (817x, 818x samt 8123 och 8133)",
7423,3.14,Resultat frσn ÷vriga f÷retag som det finns ett Σgarintresse i," + 8123, 8133",
7530,3.14,," - 8123, 8133",
7416,3.15,Resultat frσn ÷vriga anlΣggningstillgσngar,"+ 82xx exkl. (827x, 828x)",
7520,3.15,Resultat frσn ÷vriga anlΣggningstillgσngar,"- 82xx exkl. (827x, 828x)",
7417,3.16,╓vriga rΣnteintΣkter och liknande resultatposter,"83xx exkl. (837x, 838x)",
7521,3.17,Nedskrivningar av finansiella anlΣggningstillgσngar och kortfristiga placeringar,"807x, 808x, 817x, 818x, 827x, 828x, 837x, 838x",
7522,3.18,RΣntekostnader och liknande resultatposter,84xx,
7524,3.19,LΣmnade koncernbidrag,883x,
7419,3.20,Mottagna koncernbidrag,882x,
7420,3.21,┼terf÷ring av periodiseringsfond,"8810, 8819",
7525,3.22,AvsΣttning till periodiseringsfond,"8810, 8811",
7421,3.23,F÷rΣndring av ÷veravskrivningar,+ 885x,
7526,3.23,F÷rΣndring av ÷veravskrivningar,- 885x,
7422,3.24,╓vriga bokslutsdispositioner,+ 886x-889x,
7527,3.24,╓vriga bokslutsdispositioner,"- 886x-889x, 884x",
7528,3.25,Skatt pσ σrets resultat,89xx exkl. 899x,
7450,3.26,"┼rets resultat, vinst (flyttas till p. 4.1)  (+)",+ 899x,
7550,3.27,"┼rets resultat, f÷rlust (flyttas till p. 4.2) (-)",- 899x,
